Old File Name,New Proposed File Name,Section ID,Experiment ID,Asset Type,Internal ID,Suggested Manuscript Number,Main Text / Appendix,Caption,Core Claim Supported
正式撰写/fix6.1/tables/table1_regime_summary.csv,S06_01_T01_Regime_Performance__EX04R_v01.csv,S06_01,EX04R,Table,T01,"Table 6.1",Main,"Regime-specific UR/LFPR/EPOP performance across 5 evaluation windows.","Post-COVID UR RMSE 0.221 pp; COVID-crisis -2.07 pp bias; pre-COVID +0.77 pp bias."
正式撰写/fix6.1/tables/table2_seed_level_regime.csv,S06_01_T02_Seed_Level_Regime_Metrics__EX04R_v01.csv,S06_01,EX04R,Table,T02,"Table A1",Appendix,"Per-seed UR/LFPR/EPOP metrics for the 5 evaluation windows.","Seed dispersion small (CV 3.08% post-COVID)."
正式撰写/fix6.1/tables/table3_old_vs_regime_comparison.csv,S06_01_T03_Old_vs_Regime_Comparison__EX04R_v01.csv,S06_01,EX04R,Table,T03,"Table A2",Appendix,"Old single-window 0.214 pp number decomposed by regime.","Old number masked regime-asymmetric errors."
正式撰写/fix6.1/figures/fig1_full_period_ur.png,S06_01_F01_FullPeriod_UR_Path__EX04R_v01.png,S06_01,EX04R,Figure,F01,"Figure 6.1",Main,"Simulated vs observed unemployment 2018-01..2026-02 with regime shading.","Visualizes regime-specific fit quality."
正式撰写/fix6.1/figures/fig2_regime_ur_rmse_bar.png,S06_01_F02_Regime_UR_RMSE_Bar__EX04R_v01.png,S06_01,EX04R,Figure,F02,"Figure 6.2",Main,"UR RMSE bar by regime; post-COVID smallest.","Post-COVID is the regime of model strength."
正式撰写/fix6.1/figures/fig3_prediction_error_time.png,S06_01_F03_Prediction_Error_Time__EX04R_v01.png,S06_01,EX04R,Figure,F03,"Figure A1",Appendix,"Time series of sim-minus-observed UR.","Sign and magnitude of regime-specific bias."
正式撰写/fix6.1/figures/fig4_lfpr_epop_regime_bar.png,S06_01_F04_LFPR_EPOP_Regime_Bar__EX04R_v01.png,S06_01,EX04R,Figure,F04,"Figure A2",Appendix,"LFPR/EPOP RMSE by regime.","Tier-2 targets deteriorate post-COVID despite UR fit."
正式撰写/fix6.2/tables/table1_variant_summary.csv,S06_02_T01_Control_Comparison__EX08R_v01.csv,S06_02,EX08R,Table,T01,"Table 6.2",Main,"Re-calibrated V_Full/V_LaborOnly/V_Homogeneous/V_Simplified performance.","Full beats Simplified by 0.288 pp; advantage is moderate."
正式撰写/fix6.2/tables/table4_source_of_advantage.csv,S06_02_T02_Source_Advantage__EX08R_v01.csv,S06_02,EX08R,Table,T02,"Table 6.3",Main,"Total / heterogeneity-associated / mechanism / household gain decomposition.","Heterogeneity share 94.2%; mechanism share 5.8%."
正式撰写/fix6.2/tables/table6_old_vs_new_decomposition.csv,S06_02_T03_Old_vs_New_Control_Comparison__EX08R_v01.csv,S06_02,EX08R,Table,T03,"Table A3",Appendix,"Old shared-parameter vs new separately-calibrated control comparison.","Old comparison inflated heterogeneity gap by ~10x."
正式撰写/fix6.2/tables/table7_regime_x_variant.csv,S06_02_T04_Regime_x_Control__EX08R_v01.csv,S06_02,EX08R,Table,T04,"Table A4",Appendix,"Regime × variant UR RMSE heatmap data.","Full not best in every regime."
正式撰写/fix6.2/tables/table5_calibrated_params.csv,S06_02_T05_Calibrated_Parameters__EX08R_v01.csv,S06_02,EX08R,Table,T05,"Table A5",Appendix,"Top-1 calibrated parameters per variant.","Documents which params are inactive in each variant."
正式撰写/fix6.2/figures/fig1_variant_ur_rmse_bar.png,S06_02_F01_Control_UR_RMSE_Bar__EX08R_v01.png,S06_02,EX08R,Figure,F01,"Figure 6.3",Main,"Re-calibrated UR RMSE bar across 4 variants.","Full strictly best after recalibration."
正式撰写/fix6.2/figures/fig2_source_of_advantage_waterfall.png,S06_02_F02_Source_Advantage_Waterfall__EX08R_v01.png,S06_02,EX08R,Figure,F02,"Figure 6.4",Main,"Waterfall: Simplified → Homogeneous → LaborOnly → Full.","Heterogeneity-associated gain dominates the small total gain."
正式撰写/fix6.2/figures/fig3_variant_ur_lines.png,S06_02_F03_Control_UR_Trajectories__EX08R_v01.png,S06_02,EX08R,Figure,F03,"Figure A3",Appendix,"UR trajectories for 4 variants over post-COVID window.",—
正式撰写/fix6.2/figures/fig4_regime_x_variant_heatmap.png,S06_02_F04_Regime_Control_Heatmap__EX08R_v01.png,S06_02,EX08R,Figure,F04,"Figure A4",Appendix,"Regime × variant UR RMSE heatmap.",—
正式撰写/fix6.2/figures/fig5_within_variant_dispersion.png,S06_02_F05_Within_Variant_Dispersion__EX08R_v01.png,S06_02,EX08R,Figure,F05,"Figure A5",Appendix,"Within-variant top-5 seed dispersion box plot.","V_Full seed s.d. 0.023 pp."
正式撰写/fix6.3/tables/table7_paper_ready.csv,S06_03_T01_Recalibrated_Ablation__EX05R_v01.csv,S06_03,EX05R,Table,T01,"Table 6.4",Main,"Re-calibrated ablation results: Δ vs Full for 6 variants.","Search Friction is the only large-Δ standalone dimension (+0.812 pp)."
正式撰写/fix6.3/tables/table5_old_vs_new_delta.csv,S06_03_T02_Old_vs_New_Ablation_Delta__EX05R_v01.csv,S06_03,EX05R,Table,T02,"Table 6.5",Main,"Old raw delta vs new re-calibrated delta per dimension.","Liq/Hous gaps largely close; Search gap survives."
正式撰写/fix6.3/tables/table6_regime_x_ablation.csv,S06_03_T03_Regime_x_Ablation__EX05R_v01.csv,S06_03,EX05R,Table,T03,"Table A6",Appendix,"Regime × ablation UR RMSE heatmap data.",—
正式撰写/6.3/tables/table3_heterogeneity_ladder.csv,S06_03_T04_Heterogeneity_Ladder__EX11_v01.csv,S06_03,EX11,Table,T04,"Table A7",Appendix,"Heterogeneity ladder (Core 7 + Layer 4) projection + refit results.","Marginal gain plateaus after Labor Search is added."
正式撰写/fix6.3/figures/fig1_recalibrated_ablation_ur.png,S06_03_F01_Ablation_UR_RMSE_Bar__EX05R_v01.png,S06_03,EX05R,Figure,F01,"Figure 6.5",Main,"Re-calibrated ablation UR RMSE bar.","Only No-Search shows large degradation."
正式撰写/fix6.3/figures/fig2_old_vs_new_delta.png,S06_03_F02_Old_vs_New_Ablation_Delta__EX05R_v01.png,S06_03,EX05R,Figure,F02,"Figure 6.6",Main,"Old vs new ablation Δ comparison.","Visualises the collapse of Liq/Hous standalone effects."
正式撰写/fix6.3/figures/fig3_regime_x_ablation_heatmap.png,S06_03_F03_Regime_Ablation_Heatmap__EX05R_v01.png,S06_03,EX05R,Figure,F03,"Figure A6",Appendix,"Regime × ablation UR RMSE heatmap.",—
正式撰写/fix6.3/figures/fig4_no_search_trajectory.png,S06_03_F04_NoSearch_Trajectory__EX05R_v01.png,S06_03,EX05R,Figure,F04,"Figure A7",Appendix,"V_Full vs V_NoSearch UR trajectory.","Search Friction is structurally hard to substitute."
正式撰写/fix6.3/figures/fig5_lfpr_epop_tradeoff.png,S06_03_F05_LFPR_EPOP_Tradeoff__EX05R_v01.png,S06_03,EX05R,Figure,F05,"Figure A8",Appendix,"LFPR/EPOP trade-off across ablation variants.",—
正式撰写/6.3/figures/fig3_heterogeneity_ladder.png,S06_03_F06_Heterogeneity_Ladder__EX11_v01.png,S06_03,EX11,Figure,F06,"Figure A9",Appendix,"Heterogeneity ladder marginal gain curve.",—
正式撰写/fix6.4/tables/table1_main_postcovid_benchmark.csv,S06_04_T01_Dynamic_Benchmark_Comparison__EX07R_v01.csv,S06_04,EX07R,Table,T01,"Table 6.6",Main,"12-model dynamic-protocol UR RMSE/MAE/Corr/Bias on post-COVID window.","ABM rank 1; lead 0.036 pp / 13% over no-change & ETS."
正式撰写/fix6.4/tables/table5_paper_ready.csv,S06_04_T02_Paper_Ready_Compact__EX07R_v01.csv,S06_04,EX07R,Table,T02,"Table 6.6 (compact)",Main,"Paper-ready compact benchmark table.",—
正式撰写/fix6.4/tables/table2_regime_specific.csv,S06_04_T03_Regime_x_Benchmark__EX07R_v01.csv,S06_04,EX07R,Table,T03,"Table A8",Appendix,"Regime × benchmark UR RMSE (4 regimes × 12 models).",—
正式撰写/fix6.4/tables/table3_model_specs.csv,S06_04_T04_Benchmark_Specs__EX07R_v01.csv,S06_04,EX07R,Table,T04,"Table A9",Appendix,"Specification details for each of the 12 benchmarks.",—
正式撰写/fix6.4/tables/table4_protocol_comparison.csv,S06_04_T05_Protocol_Comparison__EX07R_v01.csv,S06_04,EX07R,Table,T05,"Table A10",Appendix,"Dynamic vs Rolling protocol comparison.","Rolling not directly comparable to dynamic ABM path."
正式撰写/fix6.4/figures/fig1_rmse_bars_postcovid_dynamic.png,S06_04_F01_Dynamic_Benchmark_RMSE_Bar__EX07R_v01.png,S06_04,EX07R,Figure,F01,"Figure 6.7",Main,"12-model dynamic-protocol RMSE bar with ABM highlighted.","ABM rank 1; lead is modest."
正式撰写/fix6.4/figures/fig2_ratio_vs_abm.png,S06_04_F02_Benchmark_Ratio__EX07R_v01.png,S06_04,EX07R,Figure,F02,"Figure A10",Appendix,"RMSE ratio of each benchmark vs ABM.",—
正式撰写/fix6.4/figures/fig5_heatmap_model_regime.png,S06_04_F04_Regime_Benchmark_Heatmap__EX07R_v01.png,S06_04,EX07R,Figure,F04,"Figure A12",Appendix,"Model × regime RMSE heatmap.",—
正式撰写/fix6.4/figures/fig3_paths_postcovid_dynamic.png,S06_04_F05_Benchmark_Trajectories__EX07R_v01.png,S06_04,EX07R,Figure,F05,"Figure A13",Appendix,"Benchmark and ABM trajectories on post-COVID window.",—
正式撰写/fix6.5/tables/table1_revised_robustness_summary.csv,S06_05_T01_Robustness_Summary__EX06R_v01.csv,S06_05,EX06R,Table,T01,"Table 6.7",Main,"10-row robustness summary across revised + legacy dimensions.","Within-regime robust; not robust across regime transitions; weak parameter identification."
正式撰写/fix6.5/tables/table2_old_vs_revised_claims.csv,S06_05_T02_Old_vs_Revised_Claims__EX06R_v01.csv,S06_05,EX06R,Table,T02,"Table A14",Appendix,"6-family old-vs-revised claim map.",—
正式撰写/fix6.5/tables/table3_paper_ready_compact.csv,S06_05_T08_Paper_Ready_Compact__EX06R_v01.csv,S06_05,EX06R,Table,T08,"Table 6.7 (compact)",Main,"Single-page summary of robustness verdicts.",—
正式撰写/6.5/tables/table2_training_window.csv,S06_05_T03_Training_Window__EX09_v01.csv,S06_05,EX09,Table,T03,"Table A15",Appendix,"10-split training-window sensitivity for M0.","RMSE band 0.245 ± 0.011 pp; 0/14 params drift."
正式撰写/6.5/tables/table3_horizon.csv,S06_05_T04_Forecast_Horizon__EX10_v01.csv,S06_05,EX10,Table,T04,"Table A16",Appendix,"Horizon h=1..36 RMSE/log-log slope.","Slope -0.092; no horizon explosion."
正式撰写/6.5/tables/table4_agent_count.csv,S06_05_T05_Agent_Count__EX12_v01.csv,S06_05,EX12,Table,T05,"Table A17",Appendix,"7 N × 4 models × 10 seeds × 2 modes agent-count grid.","Plateau at N>=50k."
正式撰写/6.5/tables/table5_calibration_method.csv,S06_05_T06_Calibration_Method__EX13_v01.csv,S06_05,EX13,Table,T06,"Table A18",Appendix,"5 methods × 200 evals × 3 seeds best-test RMSE.","CV 5.55%; predictions method-invariant."
正式撰写/6.5/robustness_metrics.json (param_identification block),S06_05_T07_Parameter_Identification__EX13_v01.csv,S06_05,EX13,Table,T07,"Table A19",Appendix,"Per-parameter top-5 CV across calibration methods; weak-id flag.","10/14 parameters have top-5 CV >= 0.40."
正式撰写/fix6.5/figures/fig1_revised_dashboard.png,S06_05_F01_Robustness_Overview__EX06R_v01.png,S06_05,EX06R,Figure,F01,"Figure 6.8",Main,"4-panel dashboard: regime / controls+ablation / benchmarks / legacy invariants.","Single-figure summary of revised + legacy robustness."
正式撰写/6.5/figures/fig2_training_splits.png,S06_05_F02_Training_Window_Sensitivity__EX09_v01.png,S06_05,EX09,Figure,F02,"Figure A14",Appendix,"Training-window split OOS RMSE per model.",—
正式撰写/6.5/figures/fig3_horizon_slope.png,S06_05_F03_Forecast_Horizon_Slope__EX10_v01.png,S06_05,EX10,Figure,F03,"Figure A15",Appendix,"Log-log horizon RMSE curves with slopes.",—
正式撰写/6.5/figures/fig4_agent_convergence.png,S06_05_F04_Agent_Count_Convergence__EX12_v01.png,S06_05,EX12,Figure,F04,"Figure A16",Appendix,"RMSE vs N convergence curves per model.",—
正式撰写/6.5/figures/fig5_calibration_sensitivity.png,S06_05_F05_Calibration_Method_Sensitivity__EX13_v01.png,S06_05,EX13,Figure,F05,"Figure A17",Appendix,"5-method best-test RMSE box / bar.",—
正式撰写/6.5/figures/fig6_param_drift_heatmap.png,S06_05_F06_Parameter_Drift_Heatmap__EX13_v01.png,S06_05,EX13,Figure,F06,"Figure A18",Appendix,"Per-parameter CV heatmap across calibration methods.","Visualises the 10/14 weak-id parameters."
Phase2_Output/04_Population_Diagnostic_Report.md,S04_02_T01_Population_Validation__EX01_v01.csv,S04_02,EX01,Table,T01,"Table 4.1",Main,"Marginal and joint structure validation of 100,000-agent population.","All 14 illegal-value checks pass; 5/5 joint structure tests pass."
Phase2_Output/population_v1.npz,S04_02_DATA_Population__EX01_v01.npz,S04_02,EX01,Data,—,—,Data,"Frozen population matrices (4 arrays).",—
Phase3_Output/phase7/real_data_input_registry.md,S04_01_T01_Data_Sources__EX01_v01.csv,S04_01,EX01,Table,T01,"Table 4.2",Main,"14-row registry of all data sources (SCE + FRED + BLS).","Distinguishes initialization anchors, environment paths, and evaluation targets."
