Old Table Name,New Proposed Table Name,Section ID,Experiment ID,Suggested Table Number,Main Text / Appendix,Main Message
正式撰写/fix6.1/tables/table1_regime_summary.csv,S06_01_T01_Regime_Performance__EX04R_v01.csv,S06_01,EX04R,Table 6.1,Main,"Per-regime UR/LFPR/EPOP RMSE/MAE/Corr/Bias/Max-Abs over 5 evaluation windows (pre-COVID stable, COVID crisis Mar/Jan, post-COVID normalization, full post-2018)."
正式撰写/fix6.1/tables/table2_seed_level_regime.csv,S06_01_T02_Seed_Level_Regime_Metrics__EX04R_v01.csv,S06_01,EX04R,Table A1,Appendix,"Per-seed UR/LFPR/EPOP metrics for each regime (5 seeds × 5 regimes)."
正式撰写/fix6.1/tables/table3_old_vs_regime_comparison.csv,S06_01_T03_Old_vs_Regime_Comparison__EX04R_v01.csv,S06_01,EX04R,Table A2,Appendix,"Old single-window 0.214 pp number broken down into regime components."
正式撰写/fix6.2/tables/table1_variant_summary.csv,S06_02_T01_Control_Comparison__EX08R_v01.csv,S06_02,EX08R,Table 6.2,Main,"V_Full 0.273; V_LaborOnly 0.363; V_Homogeneous 0.545; V_Simplified 0.562 pp. ±5-seed s.d. and full-post-2018 RMSE included."
正式撰写/fix6.2/tables/table4_source_of_advantage.csv,S06_02_T02_Source_Advantage__EX08R_v01.csv,S06_02,EX08R,Table 6.3,Main,"Source-of-advantage decomposition under separately calibrated variants (heterogeneity share 94.2%, mechanism share 5.8%, household block 0.0895 pp)."
正式撰写/fix6.2/tables/table6_old_vs_new_decomposition.csv,S06_02_T03_Old_vs_New_Control_Comparison__EX08R_v01.csv,S06_02,EX08R,Table A3,Appendix,"Old (shared params) vs new (separately calibrated) control RMSE and advantage shares."
正式撰写/fix6.2/tables/table7_regime_x_variant.csv,S06_02_T04_Regime_x_Control__EX08R_v01.csv,S06_02,EX08R,Table A4,Appendix,"4 variants × 5 regimes UR RMSE heatmap data."
正式撰写/fix6.2/tables/table5_calibrated_params.csv,S06_02_T05_Calibrated_Parameters__EX08R_v01.csv,S06_02,EX08R,Table A5,Appendix,"Top-1 calibrated 14-parameter vector per variant; inactive parameters explicitly marked."
正式撰写/fix6.2/tables/table2_top5_within_variant.csv,S06_02_T06_Top5_Within_Variant__EX08R_v01.csv,S06_02,EX08R,Table A6,Appendix,"Top-5 LHS candidates per variant with train and post-COVID reeval loss."
正式撰写/fix6.2/tables/table3_seed_level_metrics.csv,S06_02_T07_Seed_Level_Metrics__EX08R_v01.csv,S06_02,EX08R,Table A7,Appendix,"Per-seed reeval metrics for each variant × top-5 candidate."
正式撰写/fix6.3/tables/table7_paper_ready.csv,S06_03_T01_Recalibrated_Ablation__EX05R_v01.csv,S06_03,EX05R,Table 6.4,Main,"Post-COVID UR RMSE and Δ vs Full for 6 re-calibrated ablation variants."
正式撰写/fix6.3/tables/table5_old_vs_new_delta.csv,S06_03_T02_Old_vs_New_Ablation_Delta__EX05R_v01.csv,S06_03,EX05R,Table 6.5,Main,"Old raw vs new re-calibrated Δ per dimension. Search +0.889 → +0.812; Liquidity +0.299 → +0.105; Housing +0.162 → -0.036."
正式撰写/fix6.3/tables/table6_regime_x_ablation.csv,S06_03_T03_Regime_x_Ablation__EX05R_v01.csv,S06_03,EX05R,Table A8,Appendix,"7 variants × 5 regimes UR RMSE heatmap data."
正式撰写/6.3/tables/table3_heterogeneity_ladder.csv,S06_03_T04_Heterogeneity_Ladder__EX11_v01.csv,S06_03,EX11,Table A9,Appendix,"Core 7-level + Layer 4-level heterogeneity ladder; marginal-gain estimates."
正式撰写/fix6.3/tables/table1_calibration_summary.csv,S06_03_T05_Calibration_Summary__EX05R_v01.csv,S06_03,EX05R,Table A10,Appendix,"Per-variant calibration summary: best train loss, top-1 / top-5 details."
正式撰写/fix6.3/tables/table2_post_covid_ablation.csv,S06_03_T06_PostCOVID_Ablation_Full__EX05R_v01.csv,S06_03,EX05R,Table A11,Appendix,"Post-COVID detailed metrics for 7 variants (full table including LFPR/EPOP)."
正式撰写/fix6.4/tables/table1_main_postcovid_benchmark.csv,S06_04_T01_Dynamic_Benchmark_Comparison__EX07R_v01.csv,S06_04,EX07R,Table 6.6,Main,"12 models × post-COVID dynamic protocol: UR RMSE/MAE/Corr/Bias, ratio vs ABM."
正式撰写/fix6.4/tables/table5_paper_ready.csv,S06_04_T02_Paper_Ready_Compact__EX07R_v01.csv,S06_04,EX07R,Table 6.6 (compact),Main,"Compact single-row-per-model benchmark table."
正式撰写/fix6.4/tables/table2_regime_specific.csv,S06_04_T03_Regime_x_Benchmark__EX07R_v01.csv,S06_04,EX07R,Table A12,Appendix,"12 models × 4 regime windows UR RMSE."
正式撰写/fix6.4/tables/table3_model_specs.csv,S06_04_T04_Benchmark_Specs__EX07R_v01.csv,S06_04,EX07R,Table A13,Appendix,"Specifications for each of the 11 statistical/econometric benchmarks."
正式撰写/fix6.4/tables/table4_protocol_comparison.csv,S06_04_T05_Protocol_Comparison__EX07R_v01.csv,S06_04,EX07R,Table A14,Appendix,"Dynamic vs Rolling protocol side-by-side. Explains why rolling-one-step benchmarks are not directly comparable to ABM."
正式撰写/fix6.5/tables/table1_revised_robustness_summary.csv,S06_05_T01_Robustness_Summary__EX06R_v01.csv,S06_05,EX06R,Table 6.7,Main,"10-row robustness summary: 4 revised + 6 legacy invariants. Each row gives key result, what it supports, and the caveat."
正式撰写/fix6.5/tables/table2_old_vs_revised_claims.csv,S06_05_T02_Old_vs_Revised_Claims__EX06R_v01.csv,S06_05,EX06R,Table A15,Appendix,"6-family old-vs-revised claim map (OOS prediction, heterogeneity advantage, three-mechanism story, benchmark dominance, cross-regime robustness, structural reads)."
正式撰写/fix6.5/tables/table3_paper_ready_compact.csv,S06_05_T08_Paper_Ready_Compact__EX06R_v01.csv,S06_05,EX06R,Table 6.7 (compact),Main,"6-line single-page summary of robustness verdicts."
正式撰写/6.5/tables/table1_phase7_robustness.csv,S06_05_T09_Legacy_Phase7__EX06_v01.csv,S06_05,EX06,Table A16,Appendix,"Phase 7 R1-R4 legacy multi-seed / init-window / weight-sweep numbers."
正式撰写/6.5/tables/table2_training_window.csv,S06_05_T03_Training_Window__EX09_v01.csv,S06_05,EX09,Table A17,Appendix,"Package A training-window 10-split × 8-model OOS RMSE band."
正式撰写/6.5/tables/table3_horizon.csv,S06_05_T04_Forecast_Horizon__EX10_v01.csv,S06_05,EX10,Table A18,Appendix,"Package B forecast-horizon h=1..36 RMSE; log-log slopes."
正式撰写/6.5/tables/table4_agent_count.csv,S06_05_T05_Agent_Count__EX12_v01.csv,S06_05,EX12,Table A19,Appendix,"Package D 7 N × 4 models × 10 seeds × 2 modes agent-count grid; plateau N."
正式撰写/6.5/tables/table5_calibration_method.csv,S06_05_T06_Calibration_Method__EX13_v01.csv,S06_05,EX13,Table A20,Appendix,"Package E 5 methods × 200 evals × 3 seeds best-test RMSE."
正式撰写/6.5/robustness_metrics.json (param_identification block),S06_05_T07_Parameter_Identification__EX13_v01.csv,S06_05,EX13,Table A21,Appendix,"Per-parameter top-5 CV across 5 calibration methods; weak-id flag for 10/14 parameters."
正式撰写/6.5/tables/table6_paper_ready_compact.csv,S06_05_T10_Legacy_PaperReady__EX06_v01.csv,S06_05,EX06,Table A22,Appendix,"Legacy compact robustness summary (M0 baseline numbers)."
Phase2_Output/04_Population_Diagnostic_Report.md,S04_02_T01_Population_Validation__EX01_v01.csv,S04_02,EX01,Table 4.1,Main,"Population marginal validation; joint structure validation (R1-R5); illegal-value checks (14 PASS)."
Phase3_Output/phase7/real_data_input_registry.md,S04_01_T01_Data_Sources__EX01_v01.csv,S04_01,EX01,Table 4.2,Main,"14-row data source registry: SCE modules, FRED series, BLS targets, with role classification."
"正式撰写/6.1/tables/table1_candidate_window_summary.csv (legacy)",DEPRECATED — superseded by S06_01_T01,S06_01,EX04,Table,—,"Legacy single-window candidate summary; replaced by regime decomposition."
"正式撰写/6.2/tables/table4_source_of_advantage.csv (legacy)",DEPRECATED — superseded by S06_02_T02,S06_02,EX08,Table,—,"Legacy 97.6% heterogeneity share at shared parameters; replaced by 94.2% under separate recalibration."
"正式撰写/6.3/tables/table1_dimension_ablation.csv (legacy)",DEPRECATED — superseded by S06_03_T01,S06_03,EX05,Table,—,"Legacy single-flatten ablation deltas; replaced by re-calibrated deltas."
"正式撰写/6.4/tables/table1_oos_comparison.csv (legacy)",DEPRECATED — superseded by S06_04_T01,S06_04,EX07,Table,—,"Legacy 4-benchmark race; replaced by 12-benchmark dynamic protocol race."
