Figure ID,File path,Section ID,Source Experiment ID(s),Main text / Appendix,Caption,Main message,Status
S06_01_F01A,Results_PaperReady_Figures/S06_01_F01A_Observed_vs_Simulated_UR_Full__E4_v01.png,S06_01,E4,Main text,Observed (BLS UNRATE) vs 5-seed simulated V_Full UR across the full post-2018 window with regime shading (early-stable / 2020-2021 disruption / main recent evaluation).,Visual context of the V_Full trajectory across the three regimes and the 2020 spike under-prediction.,READY
S06_01_F01B,Results_PaperReady_Figures/S06_01_F01B_Observed_vs_Simulated_UR_MainEval__E4_v01.png,S06_01,E4,Main text,Observed vs 5-seed simulated V_Full UR on the main recent evaluation window (2022-01..2026-02) with the 0.273 pp headline call-out.,Visual confirmation of the 0.273 pp main-recent-evaluation tracking.,READY
S06_01_F02A,Results_PaperReady_Figures/S06_01_F02A_Regime_RMSE_Bar__E5_v01.png,S06_01,E5,Main text,UR RMSE by evaluation window (early-stable / 2020-2021 disruption / main recent evaluation / full post-2018) with cross-seed error bars and the recalibrated V_Full headline call-out.,Quantifies how tracking accuracy varies across windows; main-recent bar is the recalibrated V_Full headline.,READY
S06_01_F02B,Results_PaperReady_Figures/S06_01_F02B_Regime_Bias_Bar__E5_v01.png,S06_01,E5,Main text,UR bias (sim minus obs) by evaluation window with the recalibrated V_Full headline value (-0.167 pp) on the main-recent bar.,Sign and magnitude of systematic under/over-prediction by window.,READY
S06_02_F01,Results_PaperReady_Figures/S06_02_F01_Control_RMSE_Bar__E6_v01.png,S06_02,E6,Main text,Bar chart of UR RMSE for V_Full vs V_Homogeneous vs V_LaborOnly vs V_Simplified with 5-seed error bars.,Shows that the V_Full edge persists when controls are separately calibrated.,READY
S06_02_F02,Results_PaperReady_Figures/S06_02_F02_Source_of_Advantage__E7_v01.png,S06_02,E7,Main text,Three-bar accounting decomposition of the V_Full advantage: heterogeneity / mechanism / household-block.,Visual of the 94% / 6% / 31% within-experiment accounting decomposition.,READY
S06_03_F01,Results_PaperReady_Figures/S06_03_F01_Ablation_RMSE_Bar__E8_v01.png,S06_03,E8,Main text,Bar chart of UR RMSE for 6 recalibrated ablations with Δ vs V_Full annotation.,Search-friction heterogeneity is the least substitutable channel after recalibration.,READY
S06_03_F02,Results_PaperReady_Figures/S06_03_F02_Ladder_RMSE_Path__E9_v01.png,S06_03,E9,Main text,Step plot of UR RMSE vs number of active heterogeneity dimensions L0..L6.,Incremental marginal gain per heterogeneity dimension under the canonical insertion order.,READY
S06_04_F01,Results_PaperReady_Figures/S06_04_F01_Benchmark_RMSE_Bar__E10_v01.png,S06_04,E10,Main text,Horizontal bar chart of UR RMSE for ABM and 11 benchmarks on the post-COVID window; ABM bar highlighted.,ABM is competitive at the top of the benchmark set with a 0.036 pp margin over No-change/ETS.,READY
S06_04_F02,Results_PaperReady_Figures/S06_04_F02_Paths_Dynamic__E10_v01.png,S06_04,E10,Main text,Post-COVID dynamic-protocol forecast path overlay: ABM V_Full + top-4 benchmarks + observed UR.,Visual comparison of how the top tracking models trace the post-COVID UR series.,READY
S06_05_F01A,Results_PaperReady_Figures/S06_05_F01A_Training_Window__E11_v01.png,S06_05,E11,Main text,Per-split UR RMSE bar (E11): OOS-aligned splits remain near the 0.27 pp main-recent benchmark; two rolling-window splits degrade beyond 1 pp.,Tracking accuracy is stable on OOS-aligned splits; weakness is on rolling-window splits.,READY
S06_05_F01B,Results_PaperReady_Figures/S06_05_F01B_Horizon_Decay__E12_v01.png,S06_05,E12,Main text,Log-log forecast-horizon decay: ABM (shallowest slope) versus AR / VAR / DMP benchmarks.,Across 1..36-month horizons the ABM RMSE decays most slowly (slope -0.09) so its relative advantage grows with horizon.,READY
S06_05_F01C,Results_PaperReady_Figures/S06_05_F01C_Agent_Count_Plateau__E12_v01.png,S06_05,E12,Main text,Mean +/- SD UR RMSE versus agent count N on a log scale with the default N=100000 line.,RMSE plateaus for N >= 50000 (|deltaRMSE| < 0.015 pp).,READY
S06_05_F01D,Results_PaperReady_Figures/S06_05_F01D_Parameter_ID__E13_v01.png,S06_05,E13,Main text,Per-parameter coefficient of variation across the top-5 calibration candidates (V_Full); CV >= 0.40 threshold marked.,10 of 14 parameters fall at or above the weak-ID threshold (CV >= 0.40).,READY
E01_F01,Results_By_Experiment/E01_Synthetic_Population_Construction/figures/E01_F01_Population_Marginals_v01.png,—,E1,Appendix A,Synthetic-population marginals vs anchoring targets across age / education / employment / liquidity / housing / consumption (6-panel grid).,Synthetic population matches the target marginals on the six categorical dimensions.,READY
E02_F02,Results_By_Experiment/E02_Baseline_Stability_Check/figures/E02_F02_Multi_Seed_UR_Trajectory_v01.png,—,E2,Appendix A,Five per-seed mean UR trajectories of V_Full (averaged over 5 calibration candidates) overlaid with the 5-seed mean and observed UNRATE; full window 2018-01 onward.,Visual diagnostic of cross-seed dispersion of V_Full UR predictions.,READY
E03_F01,Results_By_Experiment/E03_Calibration_Setup/figures/E03_F01_Parameter_Top5_IQR_v01.png,—,E3,Appendix B,Per-parameter Top-5 IQR position within the search bounds for V_Full; horizontal line per parameter with [P25, P75] error bar.,Shows where the Top-5 candidates concentrate within each parameter's allowed range.,READY
E03_F02,Results_By_Experiment/E03_Calibration_Setup/figures/E03_F02_Loss_Tier_Weights_v01.png,—,E3,Appendix B,Horizontal bar chart of the six target-moment weights grouped by tier (1=UR, 2=secondary, 3=auxiliary).,Visual of the calibration loss-function structure.,READY
E03_F03,Results_By_Experiment/E03_Calibration_Setup/figures/E03_F03_Calibration_Convergence_v01.png,—,E3,Appendix B,Two-panel: (a) running-minimum train loss per seed across the 100 LHS candidates; (b) per-seed boxplot of all candidate losses.,Convergence behaviour of the V_Full calibration sweep.,READY
E04_F01,Results_By_Experiment/E04_Dynamic_Evaluation/figures/E04_F01_Observed_vs_Simulated_UR_v01.png,S06_01,E4,Audit,Same content as S06_01_F01; experiment-folder copy.,Audit-layer mirror of S06_01_F01.,READY
E05_F01,Results_By_Experiment/E05_Regime_Specific_Evaluation/figures/E05_F01_Regime_RMSE_Bar_v01.png,S06_01,E5,Audit,Same content as S06_01_F02; experiment-folder copy.,Audit-layer mirror of S06_01_F02.,READY
E06_F01,Results_By_Experiment/E06_Internal_Control_Comparison/figures/E06_F01_Control_RMSE_Bar_v01.png,S06_02,E6,Audit,Same content as S06_02_F01.,Audit-layer mirror.,READY
E06_F02,Results_By_Experiment/E06_Internal_Control_Comparison/figures/E06_F02_Variant_UR_Lines_v01.png,S06_02,E6,Audit,Mean UR trajectory by variant.,Visual of per-variant 5-seed mean path.,READY
E06_F03,Results_By_Experiment/E06_Internal_Control_Comparison/figures/E06_F03_Regime_by_Variant_Heatmap_v01.png,S06_02,E6,Audit,Regime × variant RMSE heatmap.,Per-regime per-variant detail.,READY
E06_F04,Results_By_Experiment/E06_Internal_Control_Comparison/figures/E06_F04_Within_Variant_Dispersion_v01.png,S06_02,E6,Audit,Top-5 within-variant dispersion.,Dispersion of top-5 candidates per variant.,READY
E07_F01,Results_By_Experiment/E07_Source_of_Advantage_Decomposition/figures/E07_F01_Source_of_Advantage_Waterfall_v01.png,S06_02,E7,Audit,Waterfall chart of the accounting decomposition gains.,Visual of the 94%/6% split.,READY
E07_F02,Results_By_Experiment/E07_Source_of_Advantage_Decomposition/figures/E07_F02_Component_Contribution_Bar_v01.png,S06_02,E7,Audit,Three-bar contribution chart with annotated percentage shares of the total V_Full advantage.,Audit-layer companion to S06_02_F02.,READY
E08_F01,Results_By_Experiment/E08_Heterogeneity_Ablation/figures/E08_F01_Ablation_RMSE_Bar_v01.png,S06_03,E8,Audit,Same content as S06_03_F01.,Audit-layer mirror.,READY
E08_F02,Results_By_Experiment/E08_Heterogeneity_Ablation/figures/E08_F02_Old_vs_New_Delta_v01.png,S06_03,E8,Audit,Projection vs recalibration gap.,Quantifies how much recalibration absorbs.,READY
E08_F03,Results_By_Experiment/E08_Heterogeneity_Ablation/figures/E08_F03_Regime_by_Ablation_Heatmap_v01.png,S06_03,E8,Audit,Regime × ablation heatmap.,Per-regime per-ablation detail.,READY
E08_F04,Results_By_Experiment/E08_Heterogeneity_Ablation/figures/E08_F04_NoSearch_Trajectory_v01.png,S06_03,E8,Audit,Worst-case V_NoSearch path.,Visual of the +0.81 pp loss.,READY
E09_F01,Results_By_Experiment/E09_Heterogeneity_Ladder/figures/E09_F01_Ladder_RMSE_Path_v01.png,S06_03,E9,Audit,Same content as S06_03_F02.,Audit-layer mirror.,READY
E09_F02,Results_By_Experiment/E09_Heterogeneity_Ladder/figures/E09_F02_Per_Level_UR_Trajectory_v01.png,S06_03,E9,Audit,Per-level 5-seed mean UR trajectory overlay for L0..L6 + observed.,Visual of how each ladder level traces the UR series across 2018-2026.,READY
E10_F01,Results_By_Experiment/E10_Forecast_Benchmark_Comparison/figures/E10_F01_Benchmark_RMSE_Bar_v01.png,S06_04,E10,Audit,Same content as S06_04_F01.,Audit-layer mirror.,READY
E10_F02,Results_By_Experiment/E10_Forecast_Benchmark_Comparison/figures/E10_F02_Ratio_vs_ABM_v01.png,S06_04,E10,Audit,Ratio of benchmark RMSE to ABM.,Visual of margin width.,READY
E10_F03,Results_By_Experiment/E10_Forecast_Benchmark_Comparison/figures/E10_F03_Paths_Dynamic_v01.png,S06_04,E10,Audit,Forecast path overlay.,Visual of each model's path.,READY
E10_F04,Results_By_Experiment/E10_Forecast_Benchmark_Comparison/figures/E10_F04_Regime_by_Benchmark_Heatmap_v01.png,S06_04,E10,Audit,Regime × benchmark heatmap.,Per-regime per-benchmark detail.,READY
E11_F01,Results_By_Experiment/E11_Training_Window_Sensitivity/figures/E11_F01_Training_Window_Sensitivity_v01.png,S06_05,E11,Audit,Per-split UR RMSE bar.,Per-split detail of robustness dashboard panel (a).,READY
E12_F01,Results_By_Experiment/E12_Forecast_Horizon_and_Agent_Count_Sensitivity/figures/E12_F01_Forecast_Horizon_Sensitivity_v01.png,S06_05,E12,Audit,Horizon decay curves.,Detail of robustness dashboard panel (b).,READY
E12_F02,Results_By_Experiment/E12_Forecast_Horizon_and_Agent_Count_Sensitivity/figures/E12_F02_Agent_Count_Convergence_v01.png,S06_05,E12,Audit,Mean RMSE ± SD vs N.,Detail of robustness dashboard panel (c).,READY
E13_F01,Results_By_Experiment/E13_Calibration_Method_and_Parameter_ID_Sensitivity/figures/E13_F01_Calibration_Method_Sensitivity_v01.png,S06_05,E13,Audit,Method × performance.,Detail of robustness dashboard panel (d).,READY
E13_F02,Results_By_Experiment/E13_Calibration_Method_and_Parameter_ID_Sensitivity/figures/E13_F02_Parameter_ID_Heatmap_v01.png,S06_05,E13,Audit,Parameter × method CV heatmap.,Visual of weakly-identified flags.,READY
