candidate,seed,window,UR_RMSE_pp,UR_MAE_pp,UR_corr,UR_mean_sim_pp,LFPR_RMSE_pp,EPOP_RMSE_pp,EU_mean,UE_mean,H2M_mean,cash_buf_mean,unemp_dur_mean
conservative,42,train,1.2432347376525645,0.9808811978575791,0.7844567367186351,6.312914370352312,1.8446371562167,1.7473561848989916,0.01408770153421551,0.2424094459048185,0.2664986309523809,9.488013534800436,5.514158959839353
conservative,42,val,2.0130823717607504,1.5529612106882857,0.6679830436794822,4.747554455848495,1.0543571698749288,2.1505803238118464,0.013430093522368269,0.2984543694562257,0.268245,12.75314711350552,4.905465234745061
conservative,42,oos,0.23763466182987933,0.18777217960222126,0.7883491162131335,3.9967316295533863,1.5348009177554123,1.4264735167108982,0.010592962038985054,0.28540432787310155,0.27696560000000003,13.897565910785953,4.933398350362449
conservative,137,train,1.259066388193159,0.9869657928750639,0.7802918546928799,6.348635103113135,1.80099202491558,1.7243143426826066,0.014180080075309057,0.2430229702632538,0.2673535119047619,9.491541121411624,5.555976721284331
conservative,137,val,2.076903532144143,1.5766607254095997,0.6374240277643123,4.695526387146389,1.0220300978118668,2.165559617820146,0.013304078245824663,0.29821914154222373,0.2685622916666667,12.752152518766195,4.895751535957356
conservative,137,oos,0.24653607157547006,0.19439812947264423,0.7782400820051653,3.9532012133762486,1.4694577508838602,1.3856111449096984,0.010674542594450038,0.2912666861544563,0.2772146,13.891729561484532,4.900542025596081
conservative,2024,train,1.2546193518502364,0.9948928055377216,0.7858048908994256,6.381310567865832,1.900401401834685,1.8188713729751675,0.01420197824711611,0.24200611273741912,0.2670004166666667,9.491477299479557,5.533524759665318
conservative,2024,val,2.020406202623511,1.5708741273363955,0.6581375318803943,4.776546978871447,1.062667329961107,2.1680551528578165,0.013439052553548166,0.29742277182767163,0.26803312500000004,12.756133608875908,4.913699300305266
conservative,2024,oos,0.24228516040996867,0.18490661862832775,0.6970800930775717,3.9243047031599287,1.5817663724908486,1.5167697146722523,0.010577632033254307,0.29118036977239536,0.2764122,13.896791646114798,4.868120230756595
conservative,888,train,1.279644213522013,1.0143689108523388,0.7739646562310594,6.323171990857931,1.897576990407453,1.787424227498222,0.01414972681040599,0.2434423395320801,0.2665529761904762,9.489574631720075,5.537936796596585
conservative,888,val,2.012080104775234,1.5705779110997273,0.6649546019770504,4.770268792833667,1.0297234458824371,2.142633771592025,0.013441572833184335,0.2977894101042857,0.2682585416666667,12.751233734733383,4.92931659633775
conservative,888,oos,0.24610326307771616,0.189247996904568,0.7613807797806597,3.9690440474339934,1.5974117969326482,1.4977460003727807,0.010645337238063858,0.28927639929396964,0.2767468,13.893042241559856,4.902246325055057
conservative,1234,train,1.2591379650281658,1.0115092628784872,0.7716027929663932,6.337795542110516,1.8120690259374503,1.7185805743334197,0.014088304961795922,0.24126050848929026,0.2669405357142857,9.489567460234978,5.5463056053537825
conservative,1234,val,2.006692220860986,1.563147302427253,0.6625373045681243,4.772894386047946,1.0396854091502876,2.1308589523945507,0.013563179756465411,0.2997970485789552,0.26781770833333335,12.756962865708417,4.931052637666671
conservative,1234,oos,0.23718441858033731,0.17490731902185455,0.7812839826551882,3.9464068409444586,1.5601210510333965,1.4755256621258213,0.010565832834642257,0.28828801755068273,0.27697039999999995,13.899167283867575,4.893308215036201
baseline,42,train,1.2926404383189003,1.0218323396746256,0.8097721113418797,6.462088359280684,1.5232856249692939,1.6667441422468792,0.014083382522047586,0.24144348555536194,0.2685507738095238,9.513639565615758,5.994686137727052
baseline,42,val,1.9985955767330559,1.5073921631897325,0.6865607885303018,4.688790625398895,1.3526847301447102,2.3452739712025115,0.01328409479669889,0.29930034514950593,0.27151270833333335,12.801429983465269,5.109258329068467
baseline,42,oos,0.23223546984178375,0.1660836904752221,0.7797504787702733,3.867781559930635,2.112800487021712,2.0547471317683383,0.010506511062491826,0.29427520730803486,0.28015819999999997,13.968675751466606,5.037642832470748
baseline,137,train,1.344182942430886,1.0603050507929381,0.7997379587832517,6.491905747967619,1.4692559503432492,1.6367494026706886,0.014088549205863407,0.240907478480055,0.26848511904761907,9.508897077122993,5.993193570540903
baseline,137,val,1.9878484846665934,1.5184536109413012,0.6899356643181557,4.74720542205217,1.4895711281551252,2.4321021899788664,0.01345448745375115,0.2989327450658525,0.27073437499999997,12.805477214327881,5.104188154273994
baseline,137,oos,0.2198607513010882,0.16392817596046533,0.75841330293015,3.851266442986673,2.1147054409635437,2.0762291073295494,0.010440742832390578,0.2934353932549446,0.2792174,13.975892039248459,5.048297658371168
baseline,2024,train,1.2867032893164554,1.0072992062639083,0.8092617426970996,6.4929427539606985,1.3808326357155452,1.5677150608145476,0.014069167000414159,0.23963187464577113,0.26894261904761907,9.510981566011335,6.011574433759119
baseline,2024,val,2.0146855854978583,1.59418107088583,0.6506244588912938,4.778241433949329,1.709935732223096,2.597798198314617,0.013300345360677679,0.2946049782668088,0.27129770833333333,12.800494558263544,5.187787445849477
baseline,2024,oos,0.21090444786356316,0.1513730709454567,0.8245440909415207,3.869793683579591,2.3227600049975736,2.262546150166371,0.010452591493985437,0.2914314595399821,0.28018740000000003,13.965114062521437,5.086646003950063
baseline,888,train,1.368737418432842,1.0709097755083417,0.8040425623724888,6.564653093829229,1.5435345743270068,1.7588108130752649,0.014109187884208738,0.23878013786090393,0.26736863095238095,9.516593375510517,6.0639136946733005
baseline,888,val,1.9933879246389459,1.5416743122006142,0.6799087063631654,4.75610395249564,1.5539773231399916,2.4750606011099343,0.013284891071602667,0.2953012281398717,0.27019791666666665,12.81004216019118,5.146386060769291
baseline,888,oos,0.22225816869450266,0.16692688936791802,0.8003812923587655,3.8698475562125063,2.3043891660419313,2.243842331395696,0.01059976298800496,0.29530659685433236,0.2789512,13.980060788450958,5.034863360127712
baseline,1234,train,1.310360576045055,1.0392987368419992,0.8061037235566967,6.492896787243851,1.3266246059975264,1.5377168604320957,0.014042311341234723,0.23968540793528348,0.2689364285714286,9.507222357194877,5.996566726623024
baseline,1234,val,2.0134547572781765,1.53815574815785,0.6710187050975752,4.699117263845137,1.7232406305659502,2.629286543754154,0.013266838029340594,0.29799238339582607,0.27161875,12.795779573348689,5.201332948261014
baseline,1234,oos,0.2201548435820971,0.16632089377966894,0.7846943458044378,3.891133691298477,2.5168524966306465,2.432976311987828,0.010522637585688858,0.29196722656095053,0.28043860000000004,13.961851229373611,5.035696057186995
aggressive,42,train,1.2926404383189003,1.0218323396746256,0.8097721113418797,6.462088359280684,1.5232856249692939,1.6667441422468792,0.014083382522047586,0.24144348555536194,0.2685507738095238,9.513639565615758,5.994686137727052
aggressive,42,val,1.9985955767330559,1.5073921631897325,0.6865607885303018,4.688790625398895,1.3526847301447102,2.3452739712025115,0.01328409479669889,0.29930034514950593,0.27151270833333335,12.801429983465269,5.109258329068467
aggressive,42,oos,0.23223546984178375,0.1660836904752221,0.7797504787702733,3.867781559930635,2.112800487021712,2.0547471317683383,0.010506511062491826,0.29427520730803486,0.28015819999999997,13.968675751466606,5.037642832470748
aggressive,137,train,1.344182942430886,1.0603050507929381,0.7997379587832517,6.491905747967619,1.4692559503432492,1.6367494026706886,0.014088549205863407,0.240907478480055,0.26848511904761907,9.508897077122993,5.993193570540903
aggressive,137,val,1.9878484846665934,1.5184536109413012,0.6899356643181557,4.74720542205217,1.4895711281551252,2.4321021899788664,0.01345448745375115,0.2989327450658525,0.27073437499999997,12.805477214327881,5.104188154273994
aggressive,137,oos,0.2198607513010882,0.16392817596046533,0.75841330293015,3.851266442986673,2.1147054409635437,2.0762291073295494,0.010440742832390578,0.2934353932549446,0.2792174,13.975892039248459,5.048297658371168
aggressive,2024,train,1.2867032893164554,1.0072992062639083,0.8092617426970996,6.4929427539606985,1.3808326357155452,1.5677150608145476,0.014069167000414159,0.23963187464577113,0.26894261904761907,9.510981566011335,6.011574433759119
aggressive,2024,val,2.0146855854978583,1.59418107088583,0.6506244588912938,4.778241433949329,1.709935732223096,2.597798198314617,0.013300345360677679,0.2946049782668088,0.27129770833333333,12.800494558263544,5.187787445849477
aggressive,2024,oos,0.21090444786356316,0.1513730709454567,0.8245440909415207,3.869793683579591,2.3227600049975736,2.262546150166371,0.010452591493985437,0.2914314595399821,0.28018740000000003,13.965114062521437,5.086646003950063
aggressive,888,train,1.368737418432842,1.0709097755083417,0.8040425623724888,6.564653093829229,1.5435345743270068,1.7588108130752649,0.014109187884208738,0.23878013786090393,0.26736863095238095,9.516593375510517,6.0639136946733005
aggressive,888,val,1.9933879246389459,1.5416743122006142,0.6799087063631654,4.75610395249564,1.5539773231399916,2.4750606011099343,0.013284891071602667,0.2953012281398717,0.27019791666666665,12.81004216019118,5.146386060769291
aggressive,888,oos,0.22225816869450266,0.16692688936791802,0.8003812923587655,3.8698475562125063,2.3043891660419313,2.243842331395696,0.01059976298800496,0.29530659685433236,0.2789512,13.980060788450958,5.034863360127712
aggressive,1234,train,1.310360576045055,1.0392987368419992,0.8061037235566967,6.492896787243851,1.3266246059975264,1.5377168604320957,0.014042311341234723,0.23968540793528348,0.2689364285714286,9.507222357194877,5.996566726623024
aggressive,1234,val,2.0134547572781765,1.53815574815785,0.6710187050975752,4.699117263845137,1.7232406305659502,2.629286543754154,0.013266838029340594,0.29799238339582607,0.27161875,12.795779573348689,5.201332948261014
aggressive,1234,oos,0.2201548435820971,0.16632089377966894,0.7846943458044378,3.891133691298477,2.5168524966306465,2.432976311987828,0.010522637585688858,0.29196722656095053,0.28043860000000004,13.961851229373611,5.035696057186995
